Home;Goals.H;Visitor;Goals.V
Iceland;0;Finland;1
Switzerland;1;Norway;2
Belgium;0;Italy;1
Spain;5;Portugal;0
Denmark;0;Sweden;1
Germany;2;Poland;0
Wales;0;Netherlands;3
France;2;England;1
Norway;2;Finland;1
Switzerland;2;Iceland;0
Spain;6;Belgium;2
Portugal;1;Italy;1
Germany;2;Denmark;1
Poland;0;Sweden;3
England;4;Netherlands;0
France;4;Wales;1
Norway;4;Iceland;3
Finland;1;Switzerland;1
Portugal;1;Belgium;2
Italy;1;Spain;3
Poland;3;Denmark;2
Sweden;4;Germany;1
England;6;Wales;1
Netherlands;2;France;5
Norway;1;Italy;2
Sweden;2;England;3
Spain;2;Switzerland;0
France;5;Germany;6
England;2;Italy;1
Germany;0;Spain;1
England;3;Spain;1
